epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.706,1.1331,0.90277,0.99356,0.32422,0.00332474,0.00332474,0.00332474
2,41.9446,0.41123,0.92853,0.99678,0.23411,0.00659216,0.00659216,0.00659216
3,58.9384,0.34684,0.9179,0.99356,0.26527,0.00979358,0.00979358,0.00979358
4,73.99,0.36954,0.90921,0.99742,0.31337,0.009703,0.009703,0.009703
5,88.6649,0.30541,0.92305,0.9971,0.2468,0.009604,0.009604,0.009604
6,103.739,0.27101,0.93786,0.99581,0.19543,0.009505,0.009505,0.009505
7,119.197,0.23155,0.94977,0.99903,0.17169,0.009406,0.009406,0.009406
8,134.722,0.22106,0.94816,0.99871,0.18486,0.009307,0.009307,0.009307
9,149.961,0.21455,0.92176,0.99646,0.26056,0.009208,0.009208,0.009208
10,165.863,0.19537,0.94945,0.99903,0.1659,0.009109,0.009109,0.009109
11,183.896,0.17444,0.94881,0.99775,0.18118,0.00901,0.00901,0.00901
12,202.085,0.14826,0.95879,0.99936,0.1632,0.008911,0.008911,0.008911
13,216.606,0.16929,0.95106,0.99903,0.17072,0.008812,0.008812,0.008812
14,230.807,0.14604,0.95138,0.99871,0.17514,0.008713,0.008713,0.008713
15,246.252,0.14409,0.95332,0.99839,0.16837,0.008614,0.008614,0.008614
16,264.682,0.14839,0.94881,0.99807,0.17377,0.008515,0.008515,0.008515
17,283.206,0.13508,0.95654,0.99839,0.18138,0.008416,0.008416,0.008416
18,301.266,0.12069,0.9604,0.99839,0.17458,0.008317,0.008317,0.008317
19,319.5,0.11542,0.95557,0.99871,0.16242,0.008218,0.008218,0.008218
20,337.47,0.11769,0.96297,0.99871,0.15316,0.008119,0.008119,0.008119
21,355.469,0.11061,0.96104,0.99936,0.14129,0.00802,0.00802,0.00802
22,373.679,0.11898,0.96169,0.99871,0.15792,0.007921,0.007921,0.007921
23,391.316,0.1191,0.96072,0.99903,0.14975,0.007822,0.007822,0.007822
24,409.18,0.11222,0.96587,0.99903,0.13479,0.007723,0.007723,0.007723
25,426.88,0.10474,0.96137,0.99903,0.14341,0.007624,0.007624,0.007624
